Gender,Recommend Black Dog,,,,,,
Male,Yes,,,,,,
Male,Yes,,,,,,
Male,Yes,,,,,,
Male,Yes,,,,,,
Male,Yes,,,,,,
Male,No,,,,,,
Man,No,,,,,,
Male,No,,,,,,
Male,No,,,,,,
male,No,,,,,,
Male,No,,,,,,
Male,No,,,,,,
Men,No,,,,,,
Male,No,,,,,,
Male,No,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Woman,Yes,,,,,,
Female,Yes,,,,,,
female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
woman,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,Yes,,,,,,
Female,No,,,,,,
Female,No,,,,,,
girl,No,,,,,,
Female,No,,,,,,
Female,No,,,,,,
